response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
24.0936,0.0006,0.0000,0.0004,24.0921,0.0004,200,0.0005
23.4962,0.0000,0.0000,0.0001,23.4955,0.0005,200,24.0940
23.4021,0.0000,0.0000,0.0001,23.4017,0.0003,200,47.5903
23.3910,0.0000,0.0000,0.0001,23.3905,0.0002,200,70.9924
23.4406,0.0000,0.0000,0.0001,23.4401,0.0003,200,94.3834
